"№";"Наименование";"Ф.И.О. руководителя";"Адрес";"Телефоны";"График работы"
1;"ГУП РОАБ РТ";"Лопсан Алимаа Кара-ооловна";"667007, г.  Кызыл, ул. Оюна Курседи, д. 71";" 6-63-84";"ежедневно, круглосуточно"
2;"ООО Аптека №20";"Даваа Вероника Викторовна";"667000, г.  Кызыл, ул. Ленина, д. 24";" 3-48-84";"ежедневно с 08:00 до 20:00"
3;"ООО «Аржаана-Фарм»";"Салчак Алексей Кызыл-оолович";"667000, г.  Кызыл, ул. Ленина, д. 43";" 3-27-72";"ежедневно с 09:00 до 21:00"
4;"ООО «Аржаана-Фарм»";"Салчак Алексей Кызыл-оолович";"667010, г.  Кызыл, ул. Московская, д. 104";" 5-05-60";"ежедневно с 08:00 до 20:00"
5;"ООО «Манла»";"Ондар Маргарита Кенденовна";"667003, г.  Кызыл, ул. Кечил-оола, д. 18";" 6-07-55";"понедельник - пятница с 08:00 до 20:00, суббота, воскресенье с 09:00 до 18:00"
6;"ООО «Манла»";"Ондар Маргарита Кенденовна";"667011, г.  Кызыл, ул. Лопсанчапа, д. 42";" 5-45-30";"понедельник - пятница с 08:00 до 20:00, суббота, воскресенье с 09:00 до 18:00"
7;"ООО «Манла»";"Ондар Маргарита Кенденовна";"667011, г.  Кызыл, ул. Оюна Курседи, д. 163";"8(913)358-30-13";"понедельник - пятница с 08:00 до 19:00, суббота с 09:00 до 19:00, воскресенье с 09:00 до 18:00"
8;"«Здравушка» (ООО «Таки»)";"Насюрюн Галина Ивановна";"667003, г.  Кызыл, ул. Кечил-оола, д. 5";" 6-08-64";"понедельник - пятница с 08:00 до 20:00, суббота, воскресенье  с 09:00 до 20:00"
9;"«Здравушка» (ООО «Таки»)";"Насюрюн Галина Ивановна";"667000, г.  Кызыл, ул. Ленина, д. 45";" 2-46-12";"понедельник - пятница с 08:00 до 20:00, суббота, воскресенье  с 09:00 до 20:00"
10;"ООО «Стрела»";"Деревягин Игорь Яковлевич";"667000, г.  Кызыл, ул. Красноармейская, 127";" 2-18-02";"ежедневно с 08:00 до 20:00"
