"№";"Наименование государственного заказника";"Местоположение заказника (районы)";"Площадь заказника (га)"
"1";"«Аянгатинский»";"Барун-Хемчикский";"51 000"
"2";"«Балгазынский»";"Тандынский, Каа-Хемский и Кызылский";"150 000"
"3";"«Дерзигский»";"Каа-Хемский";"25 000"
"4";"«Дургенский»";"Тандынский";"35 065"
"5";"«Каъкский»";"Чеди-Хольский, Улуг-Хемский";"60 000"
"6";"«Ондумский»";"Кызылский, Каа-Хемский";"47 000"
"7";"«Сут-Хольский»";"Сут-Хольский";"10 000"
"8";"«Тапсынский»";"Кызылский";"107 000"
"9";"«Уш-Белдирский»";"Каа-Хемский";"15 000"
"10";"«Хутинский»";"Пий-Хемский";"109 000"
"11";"«Чаа-Хольский»";"Чаа-Хольский";"20 000"
"12";"«Чагытайский»";"Тандынский";"5 350"
"13";"«Шанский»";"Каа-Хемский";"30 000"
"14";"«Шеминский»";"Дзун-Хемчикский";"25 000"
"15";"«Ээрбекский»";"Кызылский";"29 000"
