№;Наименование организации;Ф.И.О. руководителя;Адрес;Контактные телефоны;Электронная почта
1;ГБУ Республики Тыва «Республиканский  центр социальной поддержки семье и детей»;Куулар Орланмай Дадар-ооловна;667000, г. Кызыл, ул. Кочетова, 155;8(39422)3-04-99;agentstvo.sid-rt@mail.ru
2;ГБУ Республики Тыва «Центр социальной помощи семье и детям г.Ак-Довурак»;Ванданова Ульяна Солун-ооловна;668051, г. Ак-Довурак, ул. Ленина, 1 Б ;8(39433)2-11-19 ;ak-dovurak_priyt@mail.ru
3;ГБУ Республики Тыва «Центр социальной помощи семье и детям г. Кызыла»;Сарыглар Орланмаа Белек-ооловна;667011, г. Кызыл, ул. Бай-Хаакская, 6 ;8(39422)6-33-16;idegel2011@yandex.ru.
4;ГБУ Республики Тыва «Центр социальной помощи семье и детям Барун-Хемчикского кожууна»;Маркс-оол Марита Кууларовна ;668040, Барун-Хемчикский кожуун, п.Кызыл-Мажалык, ул. Чургуй-оола, 60;8(39441)2-15-85, 2-11-34;barunhem.sid@mail.ru
5;ГБУ Республики Тыва «Центр социальной помощи семье и детям Бай-Тайгинского кожууна»;Сегбе Чодураа Комбуевна;668010, Бай-Тайгинский кожуун, с. Тээли, ул. Серен-Дондуп, 11;8(39442)2-11-43, 2-13-26;priyut@bk.ru
6;ГБУ Республики Тыва «Центр социальной помощи семье и детям Дзун-Хемчикского  кожууна»;Монгуш Чойганмаа Алдын-ооловна;668110, Дзун-Хемчикский кожуун, г. Чадан, ул. Шахтерская, 1;8(39434)2-10-65;dzunhem.sid@mail.ru
7;ГБУ Республики Тыва «Центр социальной помощи семье и детям Каа-Хемского кожууна»;Макпан-оол Чойгана Михайловна;668410, Каа-Хемский кожуун, с. Сарыг-Сеп, пер. Медицинский, 2 ;8(39432)2-25-79, 2-23-41 (факс);kaahem.sid@mail.ru
8;ГБУ Республики Тыва «Центр социальной помощи семье и детям Кызылского кожууна»;Бижик Айлаана Алексеевна;667901, Кызылский кожуун, пгт. Каа-Хем, ул. Щорса, 10;8(394-22) 9-16-39;kyzylskij.sid@mail.ru
9;ГБУ Республики Тыва «Центр социальной помощи семье и детям Овурского кожууна»;Куулар Чодураа Аралдийевна;668130, Овурский кожуун, с. Хандагайты, ул. Ленина, 2;8(39444)2-11-87;ovur.sid@mail.ru
10;ГБУ Республики Тыва «Центр социальной помощи семье и детям Монгун-Тайгинского кожууна»;и.о. Иргит Аида Николаевна; 668020, Монгун-Тайгинский кожуун, с. Мугур-Аксы, ул. Кошкар-оола, 33 Б;8(39451)2-24-93;monguntajga.sid@mail.ru
11;ГБУ Республики Тыва «Центр социальной помощи семье и детям Пий-Хемского кожууна»;Дотпаа Айлана Олеговна;668510, Пий-Хемский кожуун, г. Туран, ул. Комсомольская, 86;8(39435)2-14-73;pijhem.sid@mail.ru
12;ГБУ Республики Тыва «Центр социальной помощи семье и детям Чаа-Хольского кожууна»;Дамбадугарова Виктория Васильевна; 668221, Чаа-Хольский кожуун, с. Чаа-Холь, ул. Ленина, 6;8(39443)2-12-37;chaahol.sid@mail.ru
13;ГБУ Республики Тыва «Центр социальной помощи семье и детям Чеди-Хольского кожууна»;Кок-оол Чинчи Андреевна;668330, Чеди-Хольский кожуун, п. Хову-Аксы, ул. Мира, 27 А;8(39452)2-23-41;chedihol.sid@mail.ru
14;ГБУ Республики Тыва «Центр социальной помощи семье и детям Тандынского кожууна»;Оюн Марина Сарыг-ооловна;668310, Тандынский кожуун, с. Бай-Хаак, ул. Пушкина, 20 А;8(39437)2-11-17;tandy.sid@mail.ru
15;ГБУ Республики Тыва «Центр социальной реабилитации несовершеннолетних Тере-Хольского кожууна»;Сурунгур Долаана Кызыл-ооловна;667903, Тере-Хольский кожуун, с. Кунгуртуг, ул. Молодежная, 4;89618948811;terehol.sid@mail.ru
16;ГБУ Республики Тыва «Центр социальной помощи семье и детям  Тес-Хемского кожууна»;Оюн Розалия Давааевна;668360, Тес-Хемский кожуун, с. Самагалтай, ул. Кунаа, 50;8(39438)2-11-15;tes-hemsentr@yandex.ru
17;ГБУ Республики Тыва «Центр социальной помощи семье и детям  Тоджинского кожууна»;Чигжит Урана Алексеевна;668530, Тоджинский кожуун, с. Тораа-Хем, ул. Октябрская, 11;8(39450)2-15-64;todja.sid@mail.ru
18;ГБУ Республики Тыва «Центр социальной помощи семье и детям Сут-Хольского кожууна»;Доржу Римма Эрес-ооловна;668150, Сут-Хольский кожуун, с. Суг-Аксы, ул .Алдан-Маадырская, 1;8(39445)2-11-86, 2-11-93 (факс);suthol.sid@mail.ru
19;ГБУ Республики Тыва «Центр социальной помощи семье и детям Улуг-Хемского кожууна»;Ензак Айслу Май-ооловна;667903, Улуг-Хемский кожуун, г. Шагонар, ул. Строителей, 10;8(39436)2-12-52;ulughem.sid@mail.ru
